Open,High,Low,Close,Adj Close,Volume
134.8300018310547,135.1999969482422,134.22000122070312,135.0500030517578,135.0500030517578,18833398
135.05999755859375,135.57000732421875,134.9499969482422,135.5399932861328,135.5399932861328,8038396
135.5399932861328,135.75999450683594,135.0399932861328,135.64500427246094,135.64500427246094,5886939
135.64210510253906,136.05999755859375,135.3800048828125,135.69000244140625,135.69000244140625,5560274
135.6999969482422,136.99000549316406,135.69500732421875,136.94500732421875,136.94500732421875,6970362
136.94500732421875,137.88999938964844,136.88999938964844,137.47500610351562,137.47500610351562,8217897
137.47999572753906,138.02000427246094,137.26060485839844,137.83999633789062,137.83999633789062,9878805
138.1199951171875,140.63999938964844,137.89999389648438,140.46749877929688,140.46749877929688,17129317
140.46499633789062,142.8000030517578,140.46499633789062,142.33999633789062,142.33999633789062,14450008
142.33999633789062,143.31500244140625,142.16000366210938,142.45249938964844,142.45249938964844,10812509
142.4600067138672,142.52000427246094,141.94000244140625,142.27000427246094,142.27000427246094,7576774
142.27000427246094,142.3300018310547,141.50999450683594,141.75999450683594,141.75999450683594,7150685
141.77999877929688,141.9499969482422,140.36000061035156,140.5850067138672,140.5850067138672,9852935
140.58999633789062,141.25999450683594,140.39999389648438,141.11000061035156,141.11000061035156,7326406
140.30499267578125,142.27000427246094,140.3000030517578,141.91000366210938,141.91000366210938,19350978
141.90499877929688,142.47000122070312,141.28570556640625,142.45350646972656,142.45350646972656,7750958
142.4600067138672,142.8699951171875,141.80999755859375,142.7050018310547,142.7050018310547,8321002
142.6999969482422,142.9199981689453,142.04800415039062,142.91000366210938,142.91000366210938,5147459
142.9199981689453,143.16000366210938,142.1999969482422,142.6634979248047,142.6634979248047,6493802
142.66009521484375,142.8000030517578,142.19000244140625,142.42019653320312,142.42019653320312,5266527
142.42999267578125,142.72000122070312,141.90499877929688,142.52999877929688,142.52999877929688,6031661
140.0,140.8000030517578,139.4600067138672,139.82000732421875,139.82000732421875,17164855
139.8300018310547,140.42999267578125,138.80999755859375,140.10000610351562,140.10000610351562,10423253
140.10000610351562,140.83999633789062,139.89999389648438,140.22000122070312,140.22000122070312,7037671
140.22999572753906,141.1199951171875,140.14999389648438,141.07989501953125,141.07989501953125,4471550
141.0800018310547,141.97000122070312,140.85000610351562,141.60000610351562,141.60000610351562,6263579
141.60000610351562,142.42999267578125,141.3699951171875,141.8300018310547,141.8300018310547,8008251
141.8354034423828,141.9499969482422,141.27499389648438,141.85000610351562,141.85000610351562,5601835
143.1699981689453,144.25,142.6699981689453,143.52499389648438,143.52499389648438,14281273
143.52499389648438,143.64999389648438,141.89999389648438,142.36000061035156,142.36000061035156,6984718
142.35000610351562,143.27000427246094,142.19000244140625,142.8699951171875,142.8699951171875,4829127
142.86000061035156,143.0800018310547,142.49000549316406,142.86000061035156,142.86000061035156,3765959
142.8699951171875,143.83250427246094,142.8699951171875,143.5301055908203,143.5301055908203,5382072
143.53500366210938,143.75999450683594,143.25,143.52000427246094,143.52000427246094,4884505
143.51499938964844,144.0399932861328,143.32000732421875,143.94000244140625,143.94000244140625,6619001
143.15499877929688,145.5,143.0800018310547,145.42999267578125,145.42999267578125,14582887
145.42999267578125,145.52499389648438,144.3800048828125,145.25,145.25,8296505
145.25999450683594,146.88999938964844,145.1699981689453,146.36219787597656,146.36219787597656,8921295
146.3778076171875,146.8249969482422,145.99000549316406,146.18499755859375,146.18499755859375,5256673
146.1999969482422,146.9499969482422,146.16000366210938,146.77149963378906,146.77149963378906,7702095
146.77999877929688,147.16000366210938,146.50999450683594,146.9600067138672,146.9600067138672,8446803
146.9499969482422,147.22999572753906,145.8000030517578,145.97000122070312,145.97000122070312,8420616
144.9550018310547,145.5500030517578,143.85000610351562,144.19000244140625,144.19000244140625,13901478
144.19000244140625,144.32000732421875,143.3699951171875,143.8800048828125,143.8800048828125,7590500
143.8699951171875,144.25999450683594,143.14999389648438,143.6750030517578,143.6750030517578,5936729
143.6750030517578,143.82000732421875,143.1699981689453,143.497802734375,143.497802734375,5194773
143.49000549316406,143.58990478515625,143.00999450683594,143.14999389648438,143.14999389648438,5611784
143.15499877929688,143.51699829101562,142.88099670410156,143.05499267578125,143.05499267578125,7635052
143.05999755859375,143.52000427246094,142.85000610351562,143.00999450683594,143.00999450683594,7361646
142.6999969482422,143.75,142.27999877929688,143.1699981689453,143.1699981689453,13897777
143.19000244140625,143.58999633789062,142.8000030517578,143.52499389648438,143.52499389648438,6094808
143.53500366210938,143.63999938964844,142.97999572753906,143.53500366210938,143.53500366210938,4771951
143.52000427246094,143.66000366210938,143.16000366210938,143.4149932861328,143.4149932861328,3376057
143.4199981689453,143.91000366210938,143.29989624023438,143.8249969482422,143.8249969482422,3694091
143.8300018310547,144.0399932861328,143.25999450683594,143.30499267578125,143.30499267578125,5273359
143.3000030517578,144.33999633789062,143.1199951171875,144.2899932861328,144.2899932861328,8519107
143.86000061035156,143.8699951171875,142.58999633789062,142.9600067138672,142.9600067138672,11912462
142.97000122070312,143.27499389648438,142.3300018310547,142.91000366210938,142.91000366210938,7542626
142.91000366210938,143.0050048828125,141.72000122070312,141.9600067138672,141.9600067138672,6492856
141.9517059326172,142.27000427246094,141.83999633789062,142.00999450683594,142.00999450683594,4542380
142.02000427246094,143.19000244140625,141.52000427246094,142.38999938964844,142.38999938964844,7713862
142.38999938964844,145.60000610351562,141.32000732421875,145.52999877929688,145.52999877929688,17228593
145.53500366210938,146.61000061035156,145.1300048828125,145.4600067138672,145.4600067138672,11475417
