Open,High,Low,Close,Adj Close,Volume
235.08729553222656,236.9600067138672,234.7100067138672,236.39999389648438,236.39999389648438,9709354
236.4199981689453,238.1699981689453,235.63279724121094,238.13999938964844,238.13999938964844,3078187
238.14999389648438,238.80999755859375,237.8699951171875,238.44500732421875,238.44500732421875,2599050
238.4199981689453,238.83999633789062,237.57000732421875,238.01060485839844,238.01060485839844,1971318
238.02999877929688,239.58999633789062,238.00999450683594,239.13999938964844,239.13999938964844,1973751
239.14999389648438,240.74000549316406,239.1199951171875,240.16000366210938,240.16000366210938,3774401
240.14999389648438,240.4600067138672,239.67999267578125,240.1699981689453,240.1699981689453,5067881
240.1300048828125,242.50999450683594,239.67999267578125,242.25669860839844,242.25669860839844,7477942
242.27999877929688,244.88999938964844,242.1999969482422,243.99000549316406,243.99000549316406,3748692
244.0,245.1649932861328,243.75,244.3000030517578,244.3000030517578,3253169
244.30999755859375,244.52000427246094,243.6199951171875,244.1300048828125,244.1300048828125,2591347
244.1199951171875,244.50999450683594,243.0800018310547,243.3699951171875,243.3699951171875,2853059
243.3699951171875,243.60000610351562,241.6300048828125,242.55999755859375,242.55999755859375,3295158
242.5500946044922,243.05999755859375,242.0449981689453,242.52000427246094,242.52000427246094,3506749
242.5,243.9499969482422,240.88999938964844,243.125,243.125,6677958
243.11000061035156,243.47000122070312,241.8000030517578,242.4250030517578,242.4250030517578,3113117
242.44000244140625,242.63999938964844,241.47999572753906,242.1199951171875,242.1199951171875,2272656
242.11500549316406,242.19000244140625,241.2100067138672,241.8699951171875,241.8699951171875,2629134
241.86000061035156,242.86000061035156,241.61070251464844,242.47000122070312,242.47000122070312,4256536
242.47500610351562,242.6551971435547,241.47000122070312,241.61000061035156,241.61000061035156,3701351
241.61000061035156,242.36000061035156,240.44000244140625,242.07000732421875,242.07000732421875,4968091
234.125,234.8000030517578,230.89999389648438,234.2899932861328,234.2899932861328,20269514
234.3000030517578,237.6199951171875,233.3699951171875,236.97500610351562,236.97500610351562,8821573
236.97999572753906,240.9499969482422,236.89999389648438,238.4398956298828,238.4398956298828,11623810
238.44000244140625,241.08999633789062,237.91000366210938,241.01280212402344,241.01280212402344,4965337
241.02999877929688,243.3000030517578,239.88040161132812,241.82000732421875,241.82000732421875,7256630
241.82000732421875,242.11000061035156,240.41000366210938,240.42230224609375,240.42230224609375,5749743
240.4199981689453,241.22999572753906,239.57000732421875,240.5500030517578,240.5500030517578,4772269
243.64999389648438,246.05999755859375,242.38999938964844,244.88999938964844,244.88999938964844,8435020
244.91000366210938,245.13999938964844,242.0,243.8300018310547,243.8300018310547,4046689
243.80999755859375,245.71499633789062,243.67999267578125,245.13999938964844,245.13999938964844,2792785
245.13999938964844,245.33999633789062,243.33999633789062,244.15989685058594,244.15989685058594,2558635
244.16000366210938,245.92999267578125,244.16000366210938,245.89999389648438,245.89999389648438,2611005
245.91000366210938,247.2698974609375,245.75,247.0,247.0,4007045
246.97999572753906,248.30999755859375,246.50999450683594,248.02999877929688,248.02999877929688,4798418
248.99000549316406,249.36000061035156,247.3300018310547,248.91900634765625,248.91900634765625,6304829
248.9199981689453,249.0,246.8300018310547,248.07000732421875,248.07000732421875,2853809
248.07000732421875,248.8800048828125,247.92999267578125,248.2100067138672,248.2100067138672,2348013
248.1999969482422,248.83999633789062,247.77999877929688,247.99000549316406,247.99000549316406,1811094
248.0,248.75999450683594,247.9499969482422,248.3699951171875,248.3699951171875,1999133
248.38999938964844,249.72000122070312,248.22000122070312,249.4600067138672,249.4600067138672,2823728
249.4499969482422,249.8300018310547,247.7899932861328,248.1699981689453,248.1699981689453,3690291
244.50999450683594,245.60000610351562,242.77000427246094,243.3791046142578,243.3791046142578,5516490
243.41000366210938,243.9550018310547,242.25999450683594,243.8000030517578,243.8000030517578,2807344
243.8000030517578,244.10989379882812,242.75999450683594,243.67999267578125,243.67999267578125,1817446
243.66000366210938,243.69000244140625,242.6199951171875,243.27200317382812,243.27200317382812,2459919
243.25999450683594,243.25999450683594,242.47000122070312,242.64999389648438,242.64999389648438,1651354
242.64999389648438,243.1199951171875,242.1999969482422,242.3800048828125,242.3800048828125,2479699
242.3800048828125,243.61000061035156,242.22689819335938,242.75999450683594,242.75999450683594,3284576
243.4499969482422,245.25750732421875,242.94500732421875,245.19000244140625,245.19000244140625,4246159
245.22999572753906,246.05999755859375,244.5399932861328,245.97000122070312,245.97000122070312,1976598
245.9600067138672,246.3800048828125,245.27999877929688,245.7449951171875,245.7449951171875,1700607
245.72999572753906,246.47000122070312,245.65040588378906,245.89999389648438,245.89999389648438,1218107
245.89999389648438,247.03990173339844,245.7386016845703,246.72439575195312,246.72439575195312,1771705
246.72999572753906,247.00999450683594,245.99000549316406,246.17999267578125,246.17999267578125,2335493
246.1699981689453,247.9499969482422,246.16000366210938,247.86000061035156,247.86000061035156,3359557
247.92999267578125,248.05999755859375,245.6300048828125,246.1999969482422,246.1999969482422,3891335
246.27000427246094,247.30499267578125,245.75,246.85000610351562,246.85000610351562,2926322
246.85000610351562,247.3179931640625,246.5904998779297,247.07000732421875,247.07000732421875,1379808
247.0717010498047,247.4600067138672,246.80999755859375,247.02999877929688,247.02999877929688,1362017
247.0399932861328,248.64999389648438,245.80999755859375,247.46580505371094,247.46580505371094,2622552
247.47000122070312,254.13999938964844,245.47000122070312,253.1699981689453,253.1699981689453,6933250
253.1699981689453,255.17999267578125,252.10000610351562,252.75,252.75,5132693
259.3599853515625,260.6600036621094,257.25,258.8900146484375,258.8900146484375,9006961
